tracer,oxygen,treatment,time,metabolite,isotope,mean,se
glc6,0.5%,None,12,AKG,M0,0.7970164069522312,0.002899851292906344
glc6,0.5%,None,12,AKG,M1,0.002862617886838483,8.715856042712794e-4
glc6,0.5%,None,12,AKG,M2,0.13362386840977056,0.002723316495482407
glc6,0.5%,None,12,AKG,M3,0.024336771589109334,4.1576923265855466e-4
glc6,0.5%,None,12,AKG,M4,0.021103198095691705,6.06661761495335e-4
glc6,0.5%,None,12,AKG,M5,0.019902974605886886,7.431310154408934e-4
glc6,0.5%,None,24,AKG,M0,0.7750571402659789,0.01962588970984159
glc6,0.5%,None,24,AKG,M1,0.0037633613773031048,0.0012272834037427263
glc6,0.5%,None,24,AKG,M2,0.1475250832805031,0.011747956543593969
glc6,0.5%,None,24,AKG,M3,0.019123556952055084,0.002740208125324314
glc6,0.5%,None,24,AKG,M4,0.02648915869918283,0.0012125296410301911
glc6,0.5%,None,24,AKG,M5,0.025878899645546762,0.0017491765909322685
glc6,0.5%,None,36,AKG,M0,0.7683774069131544,0.00798110843617384
glc6,0.5%,None,36,AKG,M1,0.0038729560512749967,1.6068364512428988e-4
glc6,0.5%,None,36,AKG,M2,0.15800424879204641,0.0046134870880745445
glc6,0.5%,None,36,AKG,M3,0.013556314565333924,0.0015331326723884522
glc6,0.5%,None,36,AKG,M4,0.027505726767249907,0.001604106427656032
glc6,0.5%,None,36,AKG,M5,0.02521580741134734,9.704621235521166e-4
glc6,0.5%,None,48,AKG,M0,0.78408185878009,0.007763940353888473
glc6,0.5%,None,48,AKG,M1,0.003193604671540182,6.548845091747729e-4
glc6,0.5%,None,48,AKG,M2,0.15088650733598255,0.005194915353206169
glc6,0.5%,None,48,AKG,M3,0.01152668747152052,0.0011169171811048798
glc6,0.5%,None,48,AKG,M4,0.025813639022398117,7.907581671116173e-4
glc6,0.5%,None,48,AKG,M5,0.024497702718468486,3.566671523331582e-4
lac3,21%,None,12,AKG,M0,0.8710647199613403,0.007152356847920331
lac3,21%,None,12,AKG,M1,0.006258293757344915,0.00046259143228374557
lac3,21%,None,12,AKG,M2,0.10147902212153463,0.01006764937184783
lac3,21%,None,12,AKG,M3,0.009883778286314407,6.041672412157148e-4
lac3,21%,None,12,AKG,M4,0.008872791832993405,8.390391361111394e-4
lac3,21%,None,12,AKG,M5,0.013038957334147668,0.0018306748271115021
lac3,21%,None,24,AKG,M0,0.8251759504870473,0.003654458237561843
lac3,21%,None,24,AKG,M1,0.008286849948620799,3.071360265902276e-4
lac3,21%,None,24,AKG,M2,0.12621424331594538,0.002937346232715057
lac3,21%,None,24,AKG,M3,0.014201236657678383,4.894904499811074e-4
lac3,21%,None,24,AKG,M4,0.014257733965088523,1.893838180980289e-4
lac3,21%,None,24,AKG,M5,0.011236014753771928,9.022675294680186e-4
lac3,21%,None,36,AKG,M0,0.8184067442665254,0.004456515625138196
lac3,21%,None,36,AKG,M1,0.00910651466729612,9.244037004021436e-4
lac3,21%,None,36,AKG,M2,0.13197190680827794,0.003415231884414841
lac3,21%,None,36,AKG,M3,0.015415820279705882,1.0305860038511345e-4
lac3,21%,None,36,AKG,M4,0.014280667183505373,5.344603586653335e-4
lac3,21%,None,36,AKG,M5,0.009380077495382395,8.965389315750136e-4
lac3,21%,None,48,AKG,M0,0.8201029514646941,0.0027987919643072266
lac3,21%,None,48,AKG,M1,0.011531391478672057,8.671827556383341e-5
lac3,21%,None,48,AKG,M2,0.13202097800197968,0.0027138955460991434
lac3,21%,None,48,AKG,M3,0.014892205125210514,3.836188221141685e-5
lac3,21%,None,48,AKG,M4,0.012735267690905935,1.4168215587631754e-4
lac3,21%,None,48,AKG,M5,0.008717206238537474,3.64393213054504e-4
lac3,0.5%,None,12,AKG,M0,0.7912874384728007,0.005591773000561116
lac3,0.5%,None,12,AKG,M1,0.00428018254555097,4.875220952196214e-4
lac3,0.5%,None,12,AKG,M2,0.14483542432042912,0.004885601100564087
lac3,0.5%,None,12,AKG,M3,0.018471650912221412,7.581277984559486e-4
lac3,0.5%,None,12,AKG,M4,0.01966687270368835,0.0012004771446137176
lac3,0.5%,None,12,AKG,M5,0.019485603422282755,0.0024194476581992255
lac3,0.5%,None,24,AKG,M0,0.8088870129174743,0.028565803197579762
lac3,0.5%,None,24,AKG,M1,0.003232680740726314,0.0014714583014436352
lac3,0.5%,None,24,AKG,M2,0.13903463731857418,0.01790554666076438
lac3,0.5%,None,24,AKG,M3,0.01151808002536557,0.0017446876695469704
lac3,0.5%,None,24,AKG,M4,0.016821996375414556,0.004088100512704936
lac3,0.5%,None,24,AKG,M5,0.01583205471490733,0.001003551288520188
lac3,0.5%,None,36,AKG,M0,0.8441898925456447,0.015444254425816335
lac3,0.5%,None,36,AKG,M1,0.00274056961038167,4.233537515943524e-4
lac3,0.5%,None,36,AKG,M2,0.13183302856256784,0.00709377792084345
lac3,0.5%,None,36,AKG,M3,0.00907428996258515,0.0011151379301830684
lac3,0.5%,None,36,AKG,M4,0.009898496301832621,0.001310772174170936
lac3,0.5%,None,36,AKG,M5,0.01281486337743921,2.2486654563476312e-4
lac3,0.5%,None,48,AKG,M0,0.8515266044527419,0.01232811536734576
lac3,0.5%,None,48,AKG,M1,0.002329465615138061,7.031995231270913e-4
lac3,0.5%,None,48,AKG,M2,0.12043435165069197,0.002673900604628371
lac3,0.5%,None,48,AKG,M3,0.007974560414831642,1.0332883790348946e-4
lac3,0.5%,None,48,AKG,M4,0.007643412429808165,9.374853789408968e-4
lac3,0.5%,None,48,AKG,M5,0.008894537393273677,0.0011036698748249348
q5,21%,None,12,AKG,M0,0.14240682444456848,0.004698482608430177
q5,21%,None,12,AKG,M1,0.0029038627641344663,6.410091463287819e-4
q5,21%,None,12,AKG,M2,0.007945312941462248,9.359580899405539e-4
q5,21%,None,12,AKG,M3,0.07044617729994997,0.0013781884966159428
q5,21%,None,12,AKG,M4,0.02028483216989914,9.009739113354155e-5
q5,21%,None,12,AKG,M5,0.7564631653581022,0.0021429265293456466
q5,21%,None,24,AKG,M0,0.14681230099125914,0.002086616444276933
q5,21%,None,24,AKG,M1,0.005270257206062696,4.030442032530713e-4
q5,21%,None,24,AKG,M2,0.009619813812460125,6.030686706823727e-4
q5,21%,None,24,AKG,M3,0.07789488513800404,0.00161229104194226
q5,21%,None,24,AKG,M4,0.01985330714181648,6.500115945554946e-5
q5,21%,None,24,AKG,M5,0.7443927087281279,0.004355533665607507
q5,21%,None,36,AKG,M0,0.14095545189941663,0.0040859595209769345
q5,21%,None,36,AKG,M1,0.0069078288870870206,1.5111319667191638e-4
q5,21%,None,36,AKG,M2,0.011099009485229646,2.5123405857820855e-4
q5,21%,None,36,AKG,M3,0.0834236368808029,0.0010873671348136818
q5,21%,None,36,AKG,M4,0.019389149403391155,6.784869687837536e-5
q5,21%,None,36,AKG,M5,0.7315217995086516,0.008306498560104441
q5,21%,None,48,AKG,M0,0.14856268212417278,0.006840562104332249
q5,21%,None,48,AKG,M1,0.007069224971241081,8.327178863670902e-5
q5,21%,None,48,AKG,M2,0.012024306277401612,8.912968468808477e-5
q5,21%,None,48,AKG,M3,0.08994965265239811,5.480672619316987e-4
q5,21%,None,48,AKG,M4,0.019139720542538867,2.940439478938043e-4
q5,21%,None,48,AKG,M5,0.7253203779010476,0.005559622608900114
q5,0.5%,None,12,AKG,M0,0.23857330088259138,0.0018389219616619808
q5,0.5%,None,12,AKG,M1,0,0
q5,0.5%,None,12,AKG,M2,0.003807238058099767,6.114882732683926e-4
q5,0.5%,None,12,AKG,M3,0.03486108193396156,0.0031054635897062
q5,0.5%,None,12,AKG,M4,0.018661445009167922,1.871296233675996e-4
q5,0.5%,None,12,AKG,M5,0.7103423409766092,0.0012266237873665262
q5,0.5%,None,24,AKG,M0,0.2233879670751151,0.0031857847748346653
q5,0.5%,None,24,AKG,M1,5.821782504680089e-5,4.158999968128609e-5
q5,0.5%,None,24,AKG,M2,0.007427625190263552,4.4053390621482264e-4
q5,0.5%,None,24,AKG,M3,0.029216145291463654,0.0029310484042809684
q5,0.5%,None,24,AKG,M4,0.01907339033512479,7.276824732103346e-5
q5,0.5%,None,24,AKG,M5,0.7214595210422404,0.002368562872171128
q5,0.5%,None,36,AKG,M0,0.19774907149549628,0.0010733284729648645
q5,0.5%,None,36,AKG,M1,3.1921881767371776e-4,8.696153566526285e-5
q5,0.5%,None,36,AKG,M2,0.008765640634907033,6.322048636156168e-4
q5,0.5%,None,36,AKG,M3,0.03227400267746007,0.0015956869913438902
q5,0.5%,None,36,AKG,M4,0.019921669323442734,1.0130337074997039e-4
q5,0.5%,None,36,AKG,M5,0.738907400974497,0.002636800125328187
q5,0.5%,None,48,AKG,M0,0.20388082174802352,0.008807168905114444
q5,0.5%,None,48,AKG,M1,3.2850757882762143e-4,2.075127160370165e-4
